gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
BBS10,3432.67,2217.67,5650.33,2,3.66557e-06,0.000180503
LINC00674,2634.67,3019.33,5654.00,2,9.40236e-06,0.000125689
CD3D,2548.67,3107.33,5656.00,2,8.94097e-06,0.000128975
FLRT2,2990.67,2665.67,5656.33,2,1.40209e-05,0.000100056
MAN1A1,2528.33,3128.00,5656.33,2,7.15454e-06,0.000127483
CELSR1,3132.67,2524.33,5657.00,2,3.43366e-05,0.000144667
LOC101060391,1730.67,3926.67,5657.33,3,1.4982e-05,0.000119665
ZNF184,3085.00,2572.33,5657.33,2,4.65796e-06,0.000143643
KRT15,2627.67,3030.00,5657.67,3,7.92456e-06,0.000163553
FAM13A,2752.33,2906.67,5659.00,2,1.17651e-05,0.000102049
JADE1,3122.33,2536.67,5659.00,2,3.12629e-05,0.000101104
HLA-DQB1,2732.67,2926.33,5659.00,2,5.94342e-06,0.000137902
PEX13,2638.00,3021.33,5659.33,2,1.41515e-05,0.000100058
TENC1,2629.00,3031.00,5660.00,2,1.24475e-05,0.000100018
PLEKHS1,3474.67,2187.00,5661.67,3,2.37981e-06,0.000124518
TBC1D10C,2067.33,3594.33,5661.67,3,8.89187e-06,0.000120979
SH3GL3,2918.00,2745.00,5663.00,2,8.17452e-06,0.000160521
CD247,2580.33,3084.00,5664.33,3,1.00081e-05,0.000129499
CRMP1,3398.00,2270.33,5668.33,2,2.78816e-06,0.000267981
CHL1,2948.00,2720.67,5668.67,2,9.07583e-06,0.000100046
NPNT,953.33,4715.33,5668.67,3,1.52358e-05,0.000110371
NFE2L3,3594.67,2074.33,5669.00,2,1.02242e-05,0.000180395
CELF2,2778.67,2892.00,5670.67,2,2.29492e-05,0.00010019
APBA1,3317.67,2353.33,5671.00,2,3.59092e-06,0.000167553
COCH,2709.67,2962.00,5671.67,2,6.29222e-06,0.000143123
LOC728392,2551.67,3120.67,5672.33,2,2.10413e-05,0.000100524
ELMSAN1,2941.33,2731.00,5672.33,2,8.25297e-06,0.000134802
MSR1,3129.00,2543.67,5672.67,2,8.35604e-06,0.000100141
PIM2,3470.67,2202.00,5672.67,2,4.05959e-06,0.000269336
AFF3,2150.00,3523.00,5673.00,2,1.26224e-05,0.000117943
PALD1,1417.33,4255.67,5673.00,3,1.17732e-05,0.000110646
RSPH1,2030.33,3646.00,5676.33,3,1.23963e-05,0.00012715
ZNF883,2747.00,2929.33,5676.33,3,3.92246e-06,0.000125873
SCIN,2585.67,3096.00,5681.67,3,1.633e-05,0.000119914
FRK,2887.00,2796.00,5683.00,2,9.89376e-06,0.000100051
ZNF493,2302.33,3381.00,5683.33,2,9.5947e-06,0.000120075
ENPP5,2255.67,3428.33,5684.00,3,8.22222e-06,0.000111708
