gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
ZNF521,409.00,147.00,556.00,3,2.8466e-05,0.000284715
PFKFB3,466.00,157.00,623.00,3,3.41342e-05,0.000220924
COL4A5,554.00,99.00,653.00,3,3.04241e-05,0.000267163
LPL,311.00,406.67,717.67,3,3.42439e-05,0.000703496
AFAP1-AS1,59.00,813.67,872.67,3,0.000733494,0.000135872
CDO1,233.33,846.33,1079.67,3,3.12535e-05,0.000146436
DPT,699.67,415.67,1115.33,3,1.99547e-05,0.000200456
LCN2,922.67,216.67,1139.33,3,0.00858278,0.000626685
COL11A1,369.00,808.67,1177.67,3,1.93933e-05,0.000317793
ABCA8,486.00,785.00,1271.00,3,8.3739e-05,0.00829992
ACADSB,973.67,300.67,1274.33,3,1.19645e-05,0.000257314
CLTC,677.33,618.00,1295.33,3,2.40658e-05,0.000140285
C2CD4A,670.67,627.33,1298.00,3,0.000141999,0.00954503
EBF1,713.00,593.33,1306.33,3,0.000165867,0.000148176
FLJ13744,464.33,845.00,1309.33,3,0.000133352,0.00127084
LEPR,277.00,1052.00,1329.00,3,4.2198e-05,0.000198443
AR,982.67,408.33,1391.00,3,1.78296e-05,0.000188932
EGR3,867.00,530.33,1397.33,3,2.53535e-05,0.000147929
CA4,1031.00,436.33,1467.33,3,2.44506e-05,0.000155209
DCN,909.67,567.33,1477.00,3,3.44329e-05,0.000137763
SRGAP2C,1222.00,258.33,1480.33,3,2.30136e-05,0.000228836
LOC285628,484.33,1008.67,1493.00,3,0.00010746,0.000129736
MAP2,830.00,667.67,1497.67,3,3.40071e-05,0.000824853
CCL8,1171.67,338.67,1510.33,3,1.76389e-05,0.000176493
UBE2QL1,1134.67,411.67,1546.33,3,2.42337e-05,0.000195939
MYBL2,522.33,1048.33,1570.67,3,0.000165026,0.00380918
LOC101929886,607.33,976.67,1584.00,3,2.67471e-05,0.000407477
GPM6B,1006.67,604.67,1611.33,3,2.61238e-05,0.000229992
SEMA3G,363.67,1249.33,1613.00,3,2.69213e-05,0.000128787
SOX7,677.67,946.33,1624.00,3,3.55076e-05,0.000146204
AC092620.2,841.00,783.33,1624.33,3,3.75891e-05,0.000193687
EFEMP1,823.00,827.67,1650.67,3,3.19121e-05,0.000272585
AOC3,999.00,662.00,1661.00,3,1.62363e-05,0.000273735
COL10A1,664.67,1025.00,1689.67,3,2.76999e-05,0.000127016
PDK4,560.00,1141.00,1701.00,3,1.57823e-05,0.000123751
GIMAP7,631.33,1095.67,1727.00,3,3.08227e-05,0.000369684
OXTR,209.00,1527.33,1736.33,3,2.79024e-05,0.000119399
CX3CL1,709.67,1038.33,1748.00,3,4.08188e-05,0.000437102
HES6,965.33,792.00,1757.33,3,1.75835e-05,0.00324204
FBLN2,768.00,997.33,1765.33,3,1.80466e-05,0.000131849
FOXA1,1020.00,750.67,1770.67,3,1.58295e-05,0.000143337
ZNF423,744.67,1051.33,1796.00,3,1.69713e-05,0.000185612
CCDC80,1233.00,571.00,1804.00,3,1.17841e-05,0.000180203
CGNL1,614.67,1194.67,1809.33,3,3.00332e-05,0.00560784
EXO1,772.00,1041.00,1813.00,3,1.40276e-05,0.000128856
ZNF667-AS1,1049.33,769.67,1819.00,3,1.72021e-05,0.000659209
DQ592442,623.33,1196.00,1819.33,3,6.03309e-05,0.0307481
ERBB4,476.00,1382.33,1858.33,3,1.73533e-05,0.000150084
CST1,1204.67,662.67,1867.33,3,0.0443476,0.00104252
KIFC1,1357.33,513.67,1871.00,3,1.46677e-05,0.000144801
IGF1,671.00,1207.00,1878.00,3,2.25183e-05,0.000122956
KLHL13,723.33,1156.67,1880.00,3,1.8018e-05,0.000126408
PCP4,1687.00,213.33,1900.33,3,1.00136e-05,0.000196955
ADIRF,1438.00,471.00,1909.00,3,1.77012e-05,0.000162586
MUC5B,799.00,1118.00,1917.00,3,0.000218082,0.0124378
PPL,1204.00,716.33,1920.33,3,1.82081e-05,0.000164512
GPAM,871.00,1057.67,1928.67,3,2.70355e-05,0.000310713
FABP4,570.00,1388.00,1958.00,3,2.15849e-05,0.000119002
CYYR1,884.00,1078.33,1962.33,3,2.69026e-05,0.000163623
ABI3BP,824.33,1153.67,1978.00,3,3.45843e-05,0.000130439
LAMB3,1434.33,556.33,1990.67,3,8.29173e-06,0.000144869
LINC00341,1047.33,950.00,1997.33,3,2.36069e-05,0.000129365
RHOU,355.33,1650.33,2005.67,3,0.000102206,0.000680083
CDH3,1302.67,709.33,2012.00,3,0.00170094,0.000278085
OGN,891.00,1143.33,2034.33,3,1.68636e-05,0.000141304
ZG16B,1438.00,603.67,2041.67,3,1.22905e-05,0.000143518
UGCG,1123.00,928.33,2051.33,3,1.22347e-05,0.000166422
C15orf48,1681.00,372.00,2053.00,3,1.85144e-05,0.000162008
S100P,1648.33,412.33,2060.67,3,1.98215e-05,0.000148043
MYZAP,1256.67,809.67,2066.33,3,9.32329e-06,0.000161581
AX746755,1794.00,293.00,2087.00,3,2.67823e-05,0.000679209
CARD6,1267.00,839.33,2106.33,3,2.05542e-05,0.000178901
PITX1,619.67,1504.33,2124.00,3,0.000387759,0.00156358
DPYSL2,1467.33,657.00,2124.33,3,3.07444e-05,0.000164485
LOC101929880,1686.67,453.67,2140.33,3,3.28876e-05,0.00114341
CLDN3,738.33,1414.67,2153.00,3,2.58889e-05,0.000118111
RAPGEFL1,961.33,1238.67,2200.00,3,1.31825e-05,0.000126064
PDGFRL,999.00,1206.33,2205.33,3,1.40539e-05,0.000125475
CLEC3B,1619.67,586.67,2206.33,3,5.53927e-05,0.000147097
ACKR4,926.33,1281.67,2208.00,3,1.38732e-05,0.000129976
GALNT7,1527.00,681.33,2208.33,3,0.0021403,0.00279503
GGTA1P,642.33,1576.33,2218.67,3,2.30341e-05,0.000118726
KIT,564.33,1669.67,2234.00,3,1.98026e-05,0.000147006
LINC00992,1517.67,725.33,2243.00,3,9.78575e-06,0.000139352
GRAMD1C,935.33,1311.00,2246.33,3,1.6005e-05,0.00017171
PTX3,517.67,1733.33,2251.00,3,2.18013e-05,0.000121306
PPAPDC1A,1656.33,602.33,2258.67,3,0.0001566,0.00291289
MIR29B2,1026.67,1236.00,2262.67,3,1.86283e-05,0.000127802
UBE2S,1358.67,914.00,2272.67,3,1.16828e-05,0.000134242
GSTM3,1147.67,1132.00,2279.67,3,1.07681e-05,0.00013875
ANKRD6,1498.00,788.00,2286.00,3,1.51518e-05,0.000149935
SCGB3A1,707.67,1583.00,2290.67,3,1.32985e-05,0.000160076
KRT5,1031.67,1264.00,2295.67,3,1.87144e-05,0.000139889
CTGF,1445.00,859.00,2304.00,3,8.43466e-06,0.000140191
BLACAT1,1365.33,944.67,2310.00,3,9.2404e-06,0.000138256
EDIL3,816.00,1494.00,2310.00,3,1.72375e-05,0.000782099
RUNDC3B,293.00,2019.00,2312.00,3,0.0012085,0.000464201
OMD,1666.33,652.33,2318.67,3,1.2247e-05,0.000166169
IGFBP6,407.00,1914.67,2321.67,3,0.000186527,0.000115864
SLC19A2,1621.67,703.00,2324.67,3,8.89852e-06,0.000152482
MEOX2,604.00,1723.33,2327.33,3,1.50558e-05,0.000114881
IRX2,1512.67,815.67,2328.33,3,1.8088e-05,0.000207188
GHR,787.00,1543.00,2330.00,3,1.70363e-05,0.000118251
LHFP,1137.33,1193.67,2331.00,3,2.67541e-05,0.000142259
CCL5,1188.33,1148.67,2337.00,3,1.20961e-05,0.000135424
GATA3,1027.67,1314.00,2341.67,3,1.87024e-05,0.00013094
ADH1B,1891.33,458.00,2349.33,3,1.38605e-05,0.000160792
PDZD2,1921.00,435.00,2356.00,3,2.40569e-05,0.000164684
ADH1C,1278.00,1084.33,2362.33,3,1.17214e-05,0.00012408
COL6A6,269.33,2099.00,2368.33,3,2.76196e-05,0.000113356
ATP1A2,362.33,2010.67,2373.00,3,1.98778e-05,0.000117013
LRP2,475.33,1902.33,2377.67,3,2.05883e-05,0.00011301
IL1R2,1679.33,708.33,2387.67,3,1.70278e-05,0.000150454
PALMD,607.67,1781.33,2389.00,3,1.72313e-05,0.000507367
TM4SF18,1306.67,1098.67,2405.33,3,1.94707e-05,0.000129316
LOC100509445,1399.67,1006.33,2406.00,3,1.92022e-05,0.000126767
TMEM47,1210.67,1198.00,2408.67,3,1.92313e-05,0.000130554
PLAU,1738.00,675.33,2413.33,3,3.62506e-05,0.000279987
EPB41L4A,967.33,1452.67,2420.00,3,1.37574e-05,0.000122568
TMEM100,492.67,1928.67,2421.33,3,2.98866e-05,0.00016205
WFDC2,1729.33,692.67,2422.00,3,8.40133e-06,0.000205784
RBMS3,916.33,1508.33,2424.67,3,3.36137e-05,0.00114522
CSTA,729.67,1697.33,2427.00,3,2.00401e-05,0.000115236
PCOLCE2,724.00,1705.33,2429.33,3,1.78432e-05,0.000115156
CLSTN2,1615.33,823.00,2438.33,3,1.57959e-05,0.00013814
RBP7,1065.00,1375.33,2440.33,3,3.41172e-05,0.000182934
SCARA5,773.00,1674.33,2447.33,3,0.027568,0.013468
LOC400043,1028.67,1437.00,2465.67,3,1.59211e-05,0.000124284
ANKRD35,786.67,1681.67,2468.33,3,1.51327e-05,0.000120203
MMP13,537.00,1937.33,2474.33,3,2.0324e-05,0.000127774
FAM114A1,1685.00,793.00,2478.00,3,8.17e-06,0.000150821
PTPRM,1613.67,881.00,2494.67,3,1.71918e-05,0.000254845
GREM1,940.67,1555.33,2496.00,3,1.42959e-05,0.00012916
PLEKHH2,798.00,1731.33,2529.33,3,2.4786e-05,0.000118712
CFD,892.67,1637.67,2530.33,3,1.98612e-05,0.00028034
FMO2,572.00,1961.33,2533.33,3,2.26674e-05,0.000121648
EGR2,1301.00,1247.67,2548.67,3,2.70665e-05,0.000129285
NUAK1,1763.00,793.33,2556.33,3,1.67641e-05,0.000203141
ITM2A,828.67,1728.67,2557.33,3,2.76529e-05,0.000925993
GIMAP6,1444.67,1118.33,2563.00,3,1.6431e-05,0.000131789
SLC16A6,826.33,1741.33,2567.67,3,1.28417e-05,0.00012165
LY6D,1423.33,1147.00,2570.33,3,1.44674e-05,0.000153374
NDN,1018.33,1562.67,2581.00,3,1.77442e-05,0.000191257
CRABP2,1497.33,1093.00,2590.33,3,1.39697e-05,0.00323909
MMP3,1616.00,975.67,2591.67,3,1.22615e-05,0.000154854
MAGEA2,1414.00,1186.67,2600.67,3,2.71726e-05,0.000311705
ZIC2,1797.67,808.33,2606.00,3,2.9134e-05,0.000239567
SPINK1,1857.67,750.33,2608.00,3,2.19629e-05,0.000205328
PPP1R14A,959.00,1659.00,2618.00,3,1.67678e-05,0.000173149
MUC15,1707.67,914.33,2622.00,3,9.95456e-06,0.000142098
CXCL11,1122.67,1506.67,2629.33,3,1.4459e-05,0.000123994
LINC00312,1123.33,1508.00,2631.33,3,2.65549e-05,0.000117794
MME,1004.33,1642.67,2647.00,3,2.32752e-05,0.000203407
UNC5CL,1032.00,1616.00,2648.00,3,0.000320069,0.000150166
AZGP1,1928.00,720.67,2648.67,3,1.67429e-05,0.000134784
MFAP4,686.67,1966.33,2653.00,3,1.71768e-05,0.000138237
DPEP1,1133.00,1521.67,2654.67,3,8.9008e-05,0.000116218
GJB2,700.33,1955.33,2655.67,3,2.0368e-05,0.000121644
LDB2,639.67,2016.00,2655.67,3,2.02014e-05,0.000112373
MMP9,1812.33,847.67,2660.00,3,9.86219e-06,0.000139579
MAOA,1369.00,1293.67,2662.67,3,1.20055e-05,0.000219594
PPP1R3C,1794.67,876.00,2670.67,3,1.74492e-05,0.000154498
HOXC6,1957.33,728.33,2685.67,3,1.43921e-05,0.000136654
CYBRD1,1457.67,1229.33,2687.00,3,1.23516e-05,0.000128747
ZNF177,1728.00,964.00,2692.00,3,1.75869e-05,0.000132321
TGFBR3,971.67,1720.67,2692.33,3,3.85576e-05,0.000112177
SPRR1B,1310.33,1389.33,2699.67,3,9.78133e-06,0.000172831
CD302,1551.67,1148.00,2699.67,3,1.88662e-05,0.000135249
CDH5,1059.00,1653.33,2712.33,3,3.02969e-05,0.000208551
INHBB,2211.33,504.33,2715.67,3,1.36131e-05,0.000195993
ID4,742.33,1975.67,2718.00,3,2.25695e-05,0.000126961
MMP1,1743.67,979.67,2723.33,3,8.62346e-06,0.000144567
CADM1,1267.67,1461.33,2729.00,3,1.9688e-05,0.000129597
SYNGR3,1632.33,1099.00,2731.33,3,2.00747e-05,0.000130753
SPP1,2004.33,729.33,2733.67,3,0.000372236,0.000153695
PCDHB2,785.67,1948.33,2734.00,3,1.31814e-05,0.000122292
AGR2,2384.00,352.00,2736.00,3,1.00893e-05,0.000197952
C3,1311.67,1429.33,2741.00,3,3.17111e-05,0.000834453
NRN1,614.33,2130.00,2744.33,3,2.25639e-05,0.000129424
SETBP1,1058.00,1697.67,2755.67,3,1.67639e-05,0.000595946
CDKN1C,745.67,2016.33,2762.00,3,2.13691e-05,0.00902531
SRGAP2B,1816.67,949.33,2766.00,3,1.28066e-05,0.000139435
PEG3,1065.33,1702.33,2767.67,3,1.34877e-05,0.000130131
EOGT,2187.00,584.00,2771.00,3,3.02775e-05,0.000196978
VCAM1,1560.00,1219.33,2779.33,3,1.34828e-05,0.000141999
PTN,886.67,1893.00,2779.67,3,2.59106e-05,0.000129669
TSPYL5,1426.33,1367.00,2793.33,3,1.94566e-05,0.000122981
MACC1,1231.00,1564.67,2795.67,3,1.03902e-05,0.000125983
ANKRD36B,2313.00,483.33,2796.33,3,2.04083e-05,0.000196026
JAM2,928.00,1870.67,2798.67,3,2.23326e-05,0.000157924
ITIH5,724.67,2084.00,2808.67,3,1.55173e-05,0.000152491
MUC16,916.00,1905.67,2821.67,3,5.97465e-05,0.000127859
EVI2A,1265.67,1559.00,2824.67,3,1.33449e-05,0.000124051
IFI44L,2073.33,751.67,2825.00,3,3.25833e-05,0.000133707
GBP5,1088.33,1748.00,2836.33,3,1.81486e-05,0.00012769
CYTIP,1189.67,1663.00,2852.67,3,1.08254e-05,0.000241752
OSR2,1588.67,1266.00,2854.67,3,1.16561e-05,0.000182427
PIP,1159.00,1696.33,2855.33,3,2.03291e-05,0.000137592
COMP,1378.33,1480.33,2858.67,3,9.07536e-06,0.000129006
CNRIP1,1132.67,1729.67,2862.33,3,2.04196e-05,0.000119711
SPARCL1,1278.00,1590.00,2868.00,3,2.81337e-05,0.000126946
SLC40A1,1831.33,1038.33,2869.67,3,6.81023e-06,0.000166869
IFIT1,1275.33,1613.33,2888.67,3,2.71191e-05,0.000116281
F8,1348.67,1542.67,2891.33,3,9.91254e-06,0.000155519
AC128677.4,1595.33,1296.33,2891.67,3,8.76013e-06,0.000125271
MX1,1074.67,1819.67,2894.33,3,4.65673e-05,0.000119543
ELTD1,1351.67,1542.67,2894.33,3,2.68653e-05,0.000305373
MGP,2402.33,496.67,2899.00,3,5.92688e-06,0.000152542
WISP2,351.33,2559.33,2910.67,3,2.07788e-05,0.000125192
TBC1D9,993.67,1924.67,2918.33,3,1.23793e-05,0.000112023
EP300-AS1,944.33,1975.33,2919.67,3,1.34404e-05,0.00012559
SERPINA3,1642.33,1284.33,2926.67,3,1.28457e-05,0.000124037
LOC285812,2243.33,684.00,2927.33,3,5.20809e-06,0.000152511
TRIL,1541.00,1388.67,2929.67,3,7.52027e-06,0.000125563
CR936796,1007.33,1922.67,2930.00,3,5.29554e-05,0.00452289
SEPP1,1600.67,1340.00,2940.67,3,1.03118e-05,0.000121169
DNAJC12,2043.00,916.67,2959.67,3,0.00701916,0.000828331
FCGR3A,1400.67,1562.33,2963.00,3,1.32803e-05,0.000136306
LRRN4CL,788.00,2182.67,2970.67,3,1.75196e-05,0.000116437
RP11-363E7.4,948.00,2023.67,2971.67,3,1.14027e-05,0.000193999
MAMDC2,949.33,2028.00,2977.33,3,1.86273e-05,0.000120235
MRC1,1215.33,1767.00,2982.33,3,1.21604e-05,0.000150542
KYNU,788.33,2202.00,2990.33,3,1.27591e-05,0.000141838
HBB,1346.33,1651.00,2997.33,3,1.1757e-05,0.000114776
SDPR,888.33,2114.33,3002.67,3,1.47846e-05,0.000117558
LTF,1428.33,1579.33,3007.67,3,1.05998e-05,0.000157118
TRIM6,1543.67,1467.33,3011.00,3,1.09737e-05,0.000123484
KISS1R,1845.67,1169.67,3015.33,3,1.05426e-05,0.00089435
SRD5A1,834.33,2185.67,3020.00,3,0.000536391,0.00011976
CHRDL1,978.33,2046.67,3025.00,3,1.34484e-05,0.000251548
CLDN1,1778.33,1248.33,3026.67,3,1.13954e-05,0.000132644
SRPX,376.00,2654.67,3030.67,3,0.000897163,0.000114887
CRYZ,1678.00,1352.67,3030.67,3,1.77253e-05,0.000158737
MIR100HG,1238.67,1797.00,3035.67,3,1.63866e-05,0.000115741
TCF7L1,746.67,2290.00,3036.67,3,2.32099e-05,0.0001112
SIX4,1258.33,1788.67,3047.00,3,2.42415e-05,0.000284756
NDC80,1409.33,1639.33,3048.67,3,1.36065e-05,0.000124629
GPR84,1400.33,1649.00,3049.33,3,8.71516e-06,0.000131953
CD36,1438.33,1613.33,3051.67,3,2.24294e-05,0.000116239
ST6GALNAC5,1055.67,1996.33,3052.00,3,1.41579e-05,0.00016388
SFRP2,2208.67,846.00,3054.67,3,8.69379e-06,0.000140781
AK025288,1608.00,1449.67,3057.67,3,1.24345e-05,0.000120487
XDH,2186.00,881.00,3067.00,3,1.25363e-05,0.000174222
TAC1,1188.67,1882.00,3070.67,3,1.77612e-05,0.000147955
ITGBL1,1333.00,1752.33,3085.33,3,1.3356e-05,0.000118461
MAP7D2,914.67,2175.00,3089.67,3,2.02162e-05,0.000115214
MIR17,1141.67,1950.00,3091.67,3,1.41261e-05,0.000142686
S100A2,1811.00,1282.67,3093.67,3,6.49988e-06,0.000130169
NCEH1,1018.33,2079.33,3097.67,3,1.22866e-05,0.000361804
RNASE6,1097.00,2002.33,3099.33,3,1.28817e-05,0.000130928
NTN4,1152.67,1948.00,3100.67,3,1.84881e-05,0.000120481
UGDH,1332.67,1770.67,3103.33,3,9.16826e-06,0.00012127
MT1M,767.00,2336.33,3103.33,3,2.02675e-05,0.000111563
ZC3H12C,955.33,2153.67,3109.00,3,1.62878e-05,0.000113696
GNAI1,1322.33,1790.67,3113.00,3,1.84029e-05,0.000120784
MFAP5,1750.00,1363.00,3113.00,3,0.000462143,0.000118369
VSIG2,1856.67,1261.00,3117.67,3,0.000578588,0.0409377
SCG5,1826.33,1296.67,3123.00,3,2.93705e-05,0.000143945
ADRB2,914.67,2224.00,3138.67,3,1.32318e-05,0.000131438
PCDH19,592.33,2547.00,3139.33,3,1.47942e-05,0.000125701
TMEM200B,1867.67,1282.33,3150.00,3,2.46272e-05,0.000188224
PPP1R1B,1519.67,1635.00,3154.67,3,1.02566e-05,0.00012146
RTP4,1491.67,1667.00,3158.67,3,9.33461e-06,0.000142523
CAV1,1432.67,1731.33,3164.00,3,2.36597e-05,0.00012753
SERPINI1,1200.00,1976.67,3176.67,3,1.6087e-05,0.000112324
QPRT,1816.00,1362.33,3178.33,3,0.000141974,0.000239159
AGPAT9,1530.67,1658.00,3188.67,3,1.25171e-05,0.00107878
FOXC1,1209.00,1981.00,3190.00,3,1.96627e-05,0.000119141
ZCCHC24,1715.00,1479.00,3194.00,3,1.8911e-05,0.000189458
DCLK1,856.67,2345.33,3202.00,3,2.3086e-05,0.000113517
SLPI,493.00,2719.00,3212.00,3,2.01312e-05,0.000110897
GNE,2286.00,927.00,3213.00,3,1.02571e-05,0.000140794
SLC2A10,1519.33,1695.67,3215.00,3,1.08973e-05,0.000131607
PNMAL1,1303.00,1913.00,3216.00,3,1.14361e-05,0.00011423
SERPINA1,2127.67,1091.33,3219.00,3,1.13058e-05,0.000128198
RERG,1600.00,1621.67,3221.67,3,1.45793e-05,0.000158272
NQO1,1967.67,1254.33,3222.00,3,0.000441936,0.000180656
SOSTDC1,1841.00,1383.33,3224.33,3,0.0059422,0.010616
RRM2B,1265.00,1969.00,3234.00,3,1.6238e-05,0.000115137
EPB41L3,1327.33,1907.33,3234.67,3,9.31141e-06,0.00022905
LAMA2,946.67,2289.00,3235.67,3,1.72504e-05,0.00011473
PLSCR4,1129.00,2110.67,3239.67,3,1.1824e-05,0.000111233
PIGR,1494.33,1753.00,3247.33,3,3.65585e-05,0.000213741
LCP1,1153.67,2094.00,3247.67,3,1.17024e-05,0.000127398
NEGR1,1198.00,2056.33,3254.33,3,1.14102e-05,0.000112602
HERC5,1377.00,1885.33,3262.33,3,9.26511e-06,0.000110856
NMU,2467.00,802.00,3269.00,3,5.34576e-06,0.000206943
CCDC69,1247.33,2022.67,3270.00,3,1.73773e-05,0.000110935
FMO5,1779.00,1505.67,3284.67,3,7.28816e-06,0.000171739
PLA2G2A,2615.67,670.67,3286.33,3,6.15645e-06,0.000146053
C2orf40,1306.67,1980.67,3287.33,3,2.33566e-05,0.00522893
HBA1,1756.00,1542.00,3298.00,3,8.62582e-05,0.000118212
TLR2,1552.67,1747.33,3300.00,3,1.08726e-05,0.000142044
WIF1,624.00,2676.67,3300.67,3,0.000179886,0.000117835
CNN3,1295.00,2020.00,3315.00,3,1.20421e-05,0.000197137
MAGEA6,2071.33,1247.67,3319.00,3,9.06122e-06,0.000145911
APOBEC3B,1058.33,2261.67,3320.00,3,1.35333e-05,0.000122775
PSD3,1694.33,1628.67,3323.00,3,7.40095e-06,0.000133518
BPGM,1274.00,2049.67,3323.67,3,1.38925e-05,0.000116409
DMKN,2096.67,1230.67,3327.33,3,6.69068e-06,0.0001463
INTU,1556.00,1777.00,3333.00,3,1.40329e-05,0.000117425
FAM189A2,1246.00,2098.33,3344.33,3,2.53464e-05,0.000151502
PROS1,784.33,2566.67,3351.00,3,1.63888e-05,0.000105473
SULF1,1138.33,2215.67,3354.00,3,0.000286097,0.0140697
MAGEA12,2065.00,1290.33,3355.33,3,1.11211e-05,0.000123897
IDO1,1643.33,1712.00,3355.33,3,7.10693e-06,0.000157958
EVA1C,2107.33,1252.00,3359.33,3,1.89709e-05,0.000126344
PSMB9,1444.00,1925.33,3369.33,3,8.10136e-06,0.000117677
SLC16A14,1652.33,1729.67,3382.00,3,7.53942e-06,0.000125493
ALOX15B,1375.00,2013.67,3388.67,3,9.33431e-06,0.000131777
AK021977,1207.00,2182.00,3389.00,3,1.5629e-05,0.000126066
AJ420595,1887.67,1508.00,3395.67,3,9.32794e-06,0.000139927
CNN1,1639.33,1762.33,3401.67,3,1.42862e-05,0.000120102
TRBC1,1623.33,1785.67,3409.00,3,1.41623e-05,0.000179869
IL32,1135.33,2282.00,3417.33,3,1.55257e-05,0.000128106
SGCE,2179.33,1240.00,3419.33,3,1.36969e-05,0.00013628
KRT6A,2777.00,652.67,3429.67,3,6.61428e-06,0.000135546
SPAG4,2328.67,1101.67,3430.33,3,5.8555e-06,0.000175818
IL10RA,1585.00,1854.00,3439.00,3,1.04211e-05,0.000116732
GCNT3,1216.67,2227.33,3444.00,3,1.59279e-05,0.000133064
S100A9,1765.33,1681.33,3446.67,3,7.79716e-06,0.000149641
LEMD1,2314.00,1133.67,3447.67,3,7.37974e-06,0.000134781
MAP1B,1606.67,1846.00,3452.67,3,1.53104e-05,0.000118615
RSPO3,766.67,2687.67,3454.33,3,3.30859e-05,0.0001153
TNMD,2065.33,1389.33,3454.67,3,7.04505e-06,0.000138287
MGC24103,2605.33,854.33,3459.67,3,1.22198e-05,0.000162228
SOX11,870.00,2593.33,3463.33,3,1.50352e-05,0.000111164
RAI2,907.00,2578.33,3485.33,3,1.38676e-05,0.000174488
SHC4,1386.33,2099.33,3485.67,3,9.26155e-06,0.000111594
FAM162B,599.67,2889.67,3489.33,3,1.55892e-05,0.000127995
FMOD,798.67,2708.67,3507.33,3,1.37671e-05,0.000146114
SLC51A,1758.33,1751.00,3509.33,3,9.10217e-06,0.000158518
GPR116,1713.67,1796.67,3510.33,3,1.03157e-05,0.00013102
LINC01279,1028.33,2486.67,3515.00,3,1.66821e-05,0.000110844
HMGB3,897.67,2618.33,3516.00,3,1.14528e-05,0.0001116
KLHL21,1776.00,1747.33,3523.33,3,3.44227e-05,0.00118684
TRIM59,2004.67,1519.33,3524.00,3,2.12982e-05,0.000146626
NR2F1,1389.67,2136.33,3526.00,3,1.49863e-05,0.000116359
CCL4,995.33,2534.33,3529.67,3,1.3316e-05,0.000124323
ATL1,1378.67,2153.33,3532.00,3,1.19547e-05,0.000118318
PHYHD1,1133.33,2402.33,3535.67,3,1.02585e-05,0.000160486
ZBTB16,1096.33,2440.67,3537.00,3,1.87588e-05,0.000113199
RHOH,1311.67,2225.67,3537.33,3,1.38615e-05,0.000120573
GPX3,776.33,2761.33,3537.67,3,0.000111604,0.000130484
RSAD2,1666.33,1873.67,3540.00,3,2.13472e-05,0.000109542
FIGF,481.33,3059.67,3541.00,3,1.76078e-05,0.000128374
FAM101B,1169.67,2374.00,3543.67,3,1.69073e-05,0.000188147
FMO1,2415.00,1131.33,3546.33,3,9.35728e-06,0.000128414
CTHRC1,2011.67,1536.67,3548.33,3,3.98613e-05,0.000151639
SLFN11,1624.67,1935.00,3559.67,3,7.18654e-06,0.000148647
FAM107B,2193.33,1370.67,3564.00,3,9.6714e-06,0.000133473
IFI44,2152.33,1415.00,3567.33,3,3.10813e-05,0.000124947
CTD-2292M16.8,1032.67,2538.67,3571.33,3,1.63102e-05,0.000115907
CXCL3,2038.00,1550.00,3588.00,3,9.09904e-06,0.000165705
FOXD1,1990.67,1598.00,3588.67,3,7.03379e-06,0.000139228
PCDHGA4,2076.67,1513.33,3590.00,3,5.74812e-06,0.000122633
SLC6A14,1146.33,2444.67,3591.00,3,1.09342e-05,0.000134808
PEAR1,343.33,3250.67,3594.00,3,1.96005e-05,0.000117218
MS4A7,1677.00,1919.00,3596.00,3,8.81553e-06,0.000111193
TLR3,1668.00,1928.33,3596.33,3,6.94047e-06,0.000211058
PYGL,1178.67,2418.33,3597.00,3,1.18642e-05,0.000137536
FHL1,1025.67,2581.00,3606.67,3,1.18433e-05,0.000108498
HOXD8,643.67,2966.67,3610.33,3,1.81924e-05,0.000131
FOXQ1,2251.00,1368.00,3619.00,3,6.49914e-06,0.000126332
LOC101927268,1061.00,2558.00,3619.00,3,1.09536e-05,0.000117396
EPHA4,2438.67,1184.00,3622.67,3,4.52347e-06,0.00014171
AKAP12,597.33,3029.33,3626.67,3,1.85334e-05,0.000113163
PTPN13,1683.67,1944.67,3628.33,3,1.63675e-05,0.000119757
ARHGAP44,2186.67,1447.33,3634.00,3,0.000160796,0.0037521
RAP2C,1334.00,2310.67,3644.67,3,1.10178e-05,0.000114061
BICC1,1271.33,2376.33,3647.67,3,1.56554e-05,0.000110124
HOXC10,1303.67,2345.33,3649.00,3,1.59394e-05,0.000127355
CD2,1028.00,2621.33,3649.33,3,1.42998e-05,0.000110995
CCL3,1754.67,1896.00,3650.67,3,1.10287e-05,0.000147157
FOLR1,1349.33,2302.00,3651.33,3,9.20943e-06,0.000135495
FKBP1B,1435.67,2217.33,3653.00,3,9.82133e-06,0.000158497
ZNF329,1828.00,1830.67,3658.67,3,1.03704e-05,0.000208001
IQCJ-SCHIP1,1721.67,1938.00,3659.67,3,1.74399e-05,0.00011664
LOC145837,1506.33,2157.33,3663.67,3,7.89978e-06,0.000143833
CRISP3,2075.00,1589.33,3664.33,3,1.14039e-05,0.000120024
CSF2RB,2010.67,1655.00,3665.67,3,6.46855e-06,0.000147351
TSPAN8,2294.67,1372.00,3666.67,3,1.87269e-05,0.000122999
FBLN5,1439.00,2230.67,3669.67,3,1.15128e-05,0.000110165
ZDHHC11,1791.33,1881.00,3672.33,3,1.01641e-05,0.000150663
INMT,474.33,3207.67,3682.00,3,1.77319e-05,0.000113831
COL4A2,2229.33,1453.67,3683.00,3,7.31037e-06,0.000130165
